pLabel,p,equivclass,equivprop,sub,super
general contractor,http://www.wikidata.org/entity/Q289612,http://schema.org/GeneralContractor,,,
house painter,http://www.wikidata.org/entity/Q288728,http://schema.org/HousePainter,,,
locksmith,http://www.wikidata.org/entity/Q3479990,http://schema.org/Locksmith,,,
moving company,http://www.wikidata.org/entity/Q1757263,http://schema.org/MovingCompany,,,
plumber,http://www.wikidata.org/entity/Q252924,http://schema.org/Plumber,,,
patient,http://www.wikidata.org/entity/Q181600,http://schema.org/Patient,,,
trade union,http://www.wikidata.org/entity/Q178790,http://schema.org/WorkersUnion,,,
sports team,http://www.wikidata.org/entity/Q12973014,http://schema.org/SportsTeam,,,
Roofing contractor,http://www.wikidata.org/entity/Q27057193,http://schema.org/RoofingContractor,,,
legal services,http://www.wikidata.org/entity/Q1494322,http://schema.org/LegalService,,,
lawyer,http://www.wikidata.org/entity/Q40348,http://schema.org/Attorney,,,
notary,http://www.wikidata.org/entity/Q189010,http://schema.org/Notary,,,
library,http://www.wikidata.org/entity/Q7075,http://schema.org/Library,,,
bed and breakfast,http://www.wikidata.org/entity/Q367914,http://schema.org/BedAndBreakfast,,,
campground,http://www.wikidata.org/entity/Q27108230,http://schema.org/Campground,,,
hostel,http://www.wikidata.org/entity/Q654772,http://schema.org/Hostel,,,
hotel,http://www.wikidata.org/entity/Q27686,http://schema.org/Hotel,,,
motel,http://www.wikidata.org/entity/Q216212,http://schema.org/Motel,,,
resort,http://www.wikidata.org/entity/Q875157,http://schema.org/Resort,,,
community pharmacy,http://www.wikidata.org/entity/Q13107184,http://schema.org/Pharmacy,,,
professional services,http://www.wikidata.org/entity/Q2029911,http://schema.org/ProfessionalService,,,
radio station,http://www.wikidata.org/entity/Q14350,http://schema.org/RadioStation,,,
